ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_4551	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_4552	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
Seq_4554	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Unclassified
Seq_4555	Bacteria	Bacillota	Clostridia	Peptococcales	Peptococcaceae	Unclassified
Seq_4557	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax
Seq_4558	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_4559	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata
Seq_4563	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified
Seq_4564	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_4565	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Unclassified
Seq_4566	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia
Seq_4567	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Seq_4568	Bacteria	Bacillota	Bacilli	RF39	Unclassified	Unclassified
Seq_4570	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium
Seq_4573	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_4579	Bacteria	Bacillota	Bacilli	RF39	Unclassified	Unclassified
Seq_4580	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Seq_4581	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Unclassified
Seq_4583	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12409	Unclassified
Seq_4584	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
Seq_4585	Bacteria	Bacillota	Clostridia	Monoglobales	Monoglobaceae	Monoglobus
Seq_4588	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009
Seq_4589	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Unclassified
Seq_4590	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group	Unclassified	Unclassified
Seq_4591	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter
Seq_4593	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia
Seq_4594	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
